,favorite,retweet,tweet_id
215,21522,5288,850019790995546112
216,32066,8212,849776966551130114
217,0,5361,849668094696017920
218,16709,3387,849412302885593088
219,12042,2044,849336543269576704
220,44719,9220,849051919805034497
221,26581,4672,848690551926992896
222,26114,4980,848324959059550208
223,8630,809,848213670039564288
224,17265,3335,848212111729840128
225,0,3531,847978865427394560
226,0,464,847971574464610304
227,24800,5549,847962785489326080
228,5801,1463,847842811428974592
229,7405,456,847617282490613760
230,19807,3667,847606175596138505
231,21585,4650,847251039262605312
232,21123,6354,847157206088847362
233,22657,3457,847116187444137987
234,21247,4267,846874817362120707
235,47314,12622,846514051647705089
236,14981,3367,846505985330044928
237,33621,9855,846153765933735936
238,32653,10691,846139713627017216
239,16935,3134,846042936437604353
240,31056,9523,845812042753855489
241,26614,5205,845677943972139009
242,8089,1987,845397057150107648
243,24742,5869,845306882940190720
244,0,8375,845098359547420673
245,14468,2824,844979544864018432
246,16057,3507,844973813909606400
247,41131,11292,844704788403113984
248,17489,3421,844580511645339650
249,14464,2390,844223788422217728
250,16028,3184,843981021012017153
251,22730,5047,843856843873095681
252,17936,2988,843604394117681152
253,22841,6616,843235543001513987
254,16164,3911,842846295480000512
255,7174,1399,842765311967449089
256,19240,3822,842535590457499648
257,26061,6342,842163532590374912
258,14916,3305,842115215311396866
259,0,16878,841833993020538882
260,27280,8485,841680585030541313
261,13456,4026,841439858740625411
262,21026,5938,841320156043304961
263,16929,5155,841314665196081154
264,24418,5810,841077006473256960
265,0,1925,840761248237133825
266,0,17791,840728873075638272
267,194,2,840698636975636481
268,13121,1081,840696689258311684
269,9582,1925,840632337062862849
270,17561,5007,840370681858686976
271,20552,6291,840268004936019968
272,14335,2524,839990271299457024
273,29383,8538,839549326359670784
274,0,155,839290600511926273
275,29049,7199,839239871831150596
276,20959,4379,838952994649550848
277,11934,2283,838921590096166913
278,0,37,838916489579200512
279,0,12194,838831947270979586
280,11657,1462,838561493054533637
281,24181,5307,838476387338051585
282,0,11146,838201503651401729
283,1792,358,838150277551247360
284,149,0,838085839343206401
285,18841,3463,838083903487373313
286,36563,8672,837820167694528512
287,4112,488,837482249356513284
288,13702,2548,837471256429613056
289,22610,5830,837366284874571778
290,17123,2642,837110210464448512
291,13618,2530,836989968035819520
292,20594,5085,836753516572119041
293,13496,2448,836677758902222849
294,0,607,836648853927522308
295,0,30428,836397794269200385
296,15743,3241,836380477523124226
297,22735,4727,836260088725786625
298,20470,4752,836001077879255040
299,0,9036,835685285446955009
300,19074,4001,835574547218894849
301,0,1878,835536468978302976
302,0,23247,835309094223372289
303,17547,3299,835297930240217089
304,8320,1878,835264098648616962
305,2233,81,835246439529840640
306,27985,6345,835172783151792128
307,24080,3345,835152434251116546
308,11612,1823,834931633769889797
309,22615,6028,834786237630337024
310,14701,2804,834574053763584002
311,0,11794,834477809192075265
312,10312,1849,834458053273591808
313,22107,5297,834209720923721728
314,16885,4013,834167344700198914
315,10780,2353,834089966724603904
316,13999,2449,834086379323871233
317,14378,2659,833863086058651648
318,16449,3803,833826103416520705
319,0,241,833732339549220864
320,22178,3543,833722901757046785
321,15955,2283,833479644947025920
322,21685,5361,833124694597443584
323,14284,2453,832998151111966721
324,0,42,832769181346996225
325,18055,4009,832757312314028032
326,12755,3263,832682457690300417
327,3139,576,832645525019123713
328,17036,3103,832636094638288896
329,12850,2470,832397543355072512
330,18425,3531,832369877331693569
331,12139,2589,832273440279240704
332,0,6863,832215909146226688
333,0,10386,832215726631055365
334,72,2,832088576586297345
335,0,10795,832040443403784192
336,19208,5169,832032802820481025
337,25816,6819,831939777352105988
338,366,36,831926988323639298
339,29737,7243,831911600680497154
340,11234,2011,831670449226514432
341,7724,2168,831650051525054464
342,9689,2555,831552930092285952
343,9861,1694,831322785565769729
344,6989,1233,831315979191906304
345,12581,2705,831309418084069378
346,12812,2277,831262627380748289
347,8577,1671,830956169170665475
348,72027,18727,830583320585068544
349,0,6337,830173239259324417
350,10585,3349,830097400375152640
351,0,5579,829878982036299777
352,13179,2185,829861396166877184
353,34182,11794,829501995190984704
354,11284,2263,829449946868879360
355,37325,10372,829374341691346946
356,26401,8246,829141528400556032
357,57089,18060,829011960981237760
358,0,3784,828801551087042563
359,27536,6537,828770345708580865
360,39452,12488,828708714936930305
361,10260,1493,828650029636317184
362,6769,1275,828409743546925057
363,8244,1424,828408677031882754
364,13613,2472,828381636999917570
365,7973,1184,828376505180889089
366,13508,3255,828372645993398273
367,2362,191,828361771580813312
368,12690,3179,828046555563323392
369,11161,2385,828011680017821696
370,21738,5824,827933404142436356
371,16667,3343,827653905312006145
372,8007,1053,827600520311402496
373,17143,3409,827324948884643840
374,11424,2499,827199976799354881
375,23318,5579,826958653328592898
376,39449,11457,826848821049180160
